BTS_ID,TPS_ID,Similarity
99000001,24070049,0.878807015
99000034,24070050,0.852302928
99000060,24070051,0.857920465
99000024,24070052,0.867738406
99000072,24070053,0.86975439
99000035,24070054,0.846382422
99000039,24070056,0.862029395
99000068,24070058,0.833091758
99000005,24070060,0.826555632
99000035,24070062,0.838934781
99000037,24070063,0.902898242
99000073,24070069,0.842771855
99000013,24070072,0.887809659
99000045,24070074,0.862095097
99000039,24070076,0.854701647
99000001,24070079,0.886891586
99000037,24070081,0.897680707
99000033,24070082,0.869944246
99000036,24070085,0.881339581
99000046,24070086,0.861247287
99000028,24070089,0.883383692
99000071,24070092,0.816103154
99000073,24070094,0.823979718
99000037,24070095,0.899846452
99000066,24070096,0.861788476
99000012,24080001,0.87840143
99000049,24080002,0.8502118
99000018,24080003,0.869208374
99000004,24080004,0.868876564
99000014,24080006,0.83494986
99000055,24080007,0.83769564
99000018,24080008,0.878711108
99000025,24080009,0.85657784
99000055,24080012,0.847328422
99000014,24080013,0.829712875
99000053,24080015,0.855836314
99000029,24080017,0.862674908
99000044,24080018,0.873883714
99000006,24080019,0.877772626
99000057,24080020,0.865410056
99000060,24080024,0.849433782
99000029,24080025,0.85587924
99000004,24080026,0.880654589
99000026,24080027,0.868006719
99000025,24080028,0.863540375
99000014,24080029,0.827356718
99000047,24080031,0.864458607
99000026,24080037,0.843126695
99000059,24080038,0.841588817
99000048,24080047,0.856072501
99000050,24080048,0.896148661
99000042,24080052,0.849403873
99000029,24080053,0.858356217
99000034,24080056,0.849697984
99000029,24080058,0.858356217
99000049,24080064,0.850627152
99000070,24080065,0.840454078
99000027,24080066,0.865820209
99000017,24090001,0.867607107
99000009,24090003,0.918556181
99000019,24090004,0.898750741
99000009,24090005,0.917920954
99000023,24090006,0.922372255
99000035,24090008,0.836879953
99000005,24090009,0.837130743
99000030,24090011,0.877120377
99000027,24090014,0.864385722
99000015,24090016,0.877065056
99000046,24090018,0.864142285
99000025,24090019,0.863912511
99000023,24090020,0.934498363
99000048,24090021,0.848374125
99000065,24090022,0.895558866
99000028,24090023,0.868054668
99000025,24090024,0.865079526
99000022,24090025,0.866522473
99000009,24090026,0.91730429
99000032,24090028,0.856573727
99000023,24090029,0.927554521
99000043,24090032,0.906545649
99000043,24090033,0.917866292
99000019,24090034,0.896907877
99000019,24090036,0.890545474
99000065,24090037,0.884521676
99000023,24090039,0.920604464
99000027,24090040,0.864770727
99000027,24090042,0.871154818
99000042,24090043,0.838837737
99000043,24090044,0.903706693
99000027,24090045,0.870982328
99000009,24090046,0.916989485
99000013,24090047,0.855408571
99000030,24090049,0.894807139
99000023,24090050,0.922783785
99000065,24090051,0.891352536
99000044,24090052,0.88179971
99000019,24090053,0.897198921
99000009,24090054,0.925275134
99000040,24090055,0.823138575
99000032,24090056,0.864867853
99000030,24090057,0.864806768
99000030,24090059,0.883719078
99000019,24090060,0.899718548
99000043,24090061,0.905378458
99000043,24090063,0.918623862
99000015,24090064,0.903359597
99000050,24090065,0.848554315
99000065,24090066,0.897371033
99000038,24090068,0.876429127
99000065,24090070,0.88490326
99000054,24090073,0.88007273
99000024,24090074,0.880842111
99000035,24090076,0.831212651
99000032,24090078,0.857069331
