country,country_map,continent,GDP_per_capita,n,percentage_sample,ps2014
KWT,KW,Asia,4.323348909,NA,0,0
LAO,LA,Asia,0.208837718,NA,0,0
LBR,LR,Africa,0.075453288,NA,0,0
LBY,LY,Africa,0.671609599,NA,0,0
LCA,LC,North America,1.148149672,NA,0,0
LKA,LK,Asia,0.335438341,NA,0,0
LSO,LS,Africa,0.11073953,NA,0,0
LTU,LT,Europe,2.482679104,NA,0,0.000216
LUX,LU,Europe,12.64260899,NA,0,0.000216
LVA,LV,Europe,2.18511052,NA,0,0.000216
MAC,MO,Asia,3.16175019,NA,0,0
MAR,MA,Africa,0.35279419,NA,0,0
MDA,MD,Europe,0.556261363,NA,0,0.000216
MDG,MG,Africa,0.050503553,NA,0,0
MDV,MV,Asia,1.181752393,NA,0,0
MEX,MX,North America,1.109130543,249,0.021688006,0
MHL,MH,Oceania,0.672779956,NA,0,0
MKD,MK,Europe,0.659147129,NA,0,0.000216
MLI,ML,Africa,0.083329726,NA,0,0
MLT,MT,Europe,3.39409496,NA,0,0.000216
MMR,MM,Asia,0.109570179,NA,0,0
MNE,ME,Europe,0.989351591,NA,0,0.000216
MNG,MN,Asia,0.494675481,NA,0,0
MOZ,MZ,Africa,0.054145443,NA,0,0
MRT,MR,Africa,0.219070021,NA,0,0
MUS,MU,Africa,1.021629474,NA,0,0
MWI,MW,Africa,0.064515869,NA,0,0
MYS,MY,Asia,1.19719276,281,0.02447522,0
NAM,NA,Africa,0.491132764,NA,0,0
NER,NE,Africa,0.053302876,NA,0,0
NGA,NG,Africa,0.218442149,43,0.003745318,0
NIC,NI,North America,0.225542599,NA,0,0
NLD,NL,Europe,5.598540343,356,0.031007752,0.000216
NOR,NO,Europe,10.61487786,363,0.031617455,0.000216
NPL,NP,Asia,0.133654605,NA,0,0
NRU,NR,Oceania,1.191365733,NA,0,0
NZL,NZ,Oceania,4.824926402,159,0.013848968,0
OMN,OM,Asia,2.505679486,NA,0,0
PAK,PK,Asia,0.159666266,NA,0,0
PAN,PA,North America,1.735762863,NA,0,0
PER,PE,South America,0.712582924,115,0.010016549,0
PHL,PH,Asia,0.349850982,NA,0,0
PNG,PG,Oceania,0.302026965,NA,0,0
POL,PL,Europe,1.832128089,36,0.003135615,0.000216
PRI,PR,North America,3.520863719,76,0.006619632,0
PRT,PT,Europe,2.427451658,NA,0,0.000216
PRY,PY,South America,0.615305568,NA,0,0
PSE,PS,Asia,0.378932797,NA,0,0
QAT,QA,Asia,8.804632042,NA,0,0
ROU,RO,Europe,1.589211853,27,0.002351712,0.000216
RUS,RU,Europe,1.534509668,240,0.020904102,0.000216
RWA,RW,Africa,0.096632711,NA,0,0
SAU,SA,Asia,3.04362783,NA,0,0
SDN,SD,Africa,0.110214648,NA,0,0
SEN,SN,Africa,0.159873599,NA,0,0
SGP,SG,Asia,8.280764908,NA,0,0
SLB,SB,Oceania,0.220318966,NA,0,0
SLE,SL,Africa,0.046136114,NA,0,0
SLV,SV,North America,0.512732167,89,0.007751938,0
SOM,SO,Africa,0.046177585,NA,0,0
SRB,RS,Europe,0.939362891,69,0.006009929,0.000216
STP,ST,Africa,0.240425869,NA,0,0
SUR,SR,South America,0.585828606,NA,0,0
SVK,SK,Europe,2.125811414,263,0.022907412,0.000216
SVN,SI,Europe,2.945740284,NA,0,0.000216
SWE,SE,Europe,5.587322081,152,0.013239265,0.000216
SWZ,SZ,Eswatini,0.403951804,NA,0,0
SXM,SX,North America,3.622033801,NA,0,0
SYC,SC,Africa,1.587454007,NA,0,0
TCA,TC,North America,2.491759581,NA,0,0
TCD,TD,Africa,0.071680438,NA,0,0
TGO,TG,Africa,0.091837676,NA,0,0
THA,TH,Asia,0.690880212,183,0.015939378,0
TJK,TJ,Asia,0.105418948,NA,0,0
TLS,TL,Asia,0.235840905,NA,0,0
TTO,TT,North America,1.822226033,NA,0,0
TUN,TN,Africa,0.377666778,NA,0,0
TUR,TR,Asia,1.061606104,286,0.024910722,0
TUV,TV,Oceania,0.533498861,NA,0,0
TZA,TZ,Africa,0.119240381,NA,0,0
UGA,UG,Africa,0.096422439,NA,0,0
UKR,UA,Europe,0.453397559,NA,0,0.000216
URY,UY,South America,2.079504235,NA,0,0
USA,US,North America,7.639859174,2682,0.233603345,0.952011
UZB,UZ,Asia,0.225515116,NA,0,0
VCT,VC,North America,0.91253175,NA,0,0
VNM,VN,Asia,0.41635143,NA,0,0
VUT,VU,Oceania,0.301029217,NA,0,0
WSM,WS,Oceania,0.374320568,NA,0,0
XKX,XK,Europe,0.535143954,NA,0,0.000216
YEM,YE,Asia,0.067692839,NA,0,0
ZAF,ZA,Africa,0.677648008,130,0.011323055,0.043042
ZMB,ZM,Africa,0.148790776,NA,0,0
ZWE,ZW,Africa,0.126699603,NA,0,0
